index,302,303,304,305
0,376,377,400,358
1,334,319,362,319
2,290,290,337,290
3,322,322,354,307
4,344,344,376,344
5,377,377,409,377
6,402,402,419,387
7,422,422,453,422
8,393,393,424,375
9,356,356,388,355
10,365,365,382,348
11,366,349,383,333
12,333,333,383,316
13,338,337,387,320
14,313,313,380,296
15,279,279,347,278
16,280,280,314,263
17,255,254,305,239
18,260,260,311,245
19,250,250,316,250
20,252,237,317,267
21,260,260,325,275
22,261,276,325,276
23,282,282,315,298
24,289,289,321,305
25,277,293,293,294
26,277,293,293,294
27,305,306,289,306
