index,302,303,304,305
0,5000000,5000000,5000000,5000000
1,5000000,5000000,5000000,5000000
2,5000000,5000000,5000000,5000000
3,5000000,5000000,5000000,5000000
4,5000000,5000000,5000000,5000000
5,5000000,5000000,5000000,5000000
6,5000000,5000000,5000000,5000000
7,5000000,5000000,5000000,4940350
8,5000000,4646100,5000000,1198150
9,1909550,1019150,5000000,323050
10,489700,259850,5000000,104950
11,162300,91450,5000000,36100
12,64050,40800,5000000,14400
13,26850,16950,5000000,7500
14,12450,8350,5000000,4050
15,7100,5050,5000000,2400
16,3800,2700,3447750,1500
17,2300,1750,1454100,900
18,1750,1150,607750,650
19,1050,750,322100,450
20,600,650,161950,300
21,550,350,98800,250
22,350,300,57700,200
23,300,200,30600,150
24,250,200,20000,100
25,50,100,15650,50
26,150,50,8800,50
27,100,100,6200,50
